label,time_s,x_m,v_m_s,theta_rad,omega_rad_s
last,1.12,-0.01625009920519516,0.36136711654893167,-1.6751728711634573,-7.2988245023216045
last,1.1300000000000001,-0.012831060653364814,0.32244059381715157,-1.7455999452624869,-6.789993511766906
last,1.1400000000000001,-0.009806159114492933,0.28253971395722755,-1.8110475882250798,-6.303124884577718
last,1.1500000000000001,-0.00718066323386612,0.24255946216813454,-1.8717353991833474,-5.838074212391679
last,1.16,-0.004955031228151614,0.20256693897477596,-1.9278818121708738,-5.394822042475798
last,1.17,-0.003129342097345502,0.16257088718644583,-1.9797034906892585,-4.973050809520631
last,1.18,-0.0017036174540920365,0.12257404146424715,-2.0274124881386566,-4.572167912633797
last,1.19,-0.000677859253423563,0.08257759866944739,-2.0712138027557314,-4.191364712869084
last,1.2,-5.199380015728115e-05,0.04259549198380889,-2.1113033048708405,-3.829631901248479
last,1.21,0.00017456367495577115,0.002716003038801531,-2.1478650097434957,-3.4856122175672017
last,1.22,5.698095373693349e-06,-0.036489118955217045,-2.1810612277564507,-3.1563148628571294
last,1.23,-0.0005331601456845204,-0.07128252925642559,-2.2109716288514343,-2.8281347427425554
last,1.24,-0.0013310060519191268,-0.0882866519904955,-2.2373703092507977,-2.4533871973840937
last,1.25,-0.0021431609114389498,-0.07414431991346902,-2.2595325752146365,-1.980100725235774
last,1.26,-0.0027250348232735313,-0.04223046245344706,-2.2766749815481946,-1.448991161776761
last,1.27,-0.0029579237068412044,-0.00434731426008765,-2.2884147899194556,-0.8993544585317034
last,1.28,-0.0028087945011144437,0.03417315540543973,-2.294656363200633,-0.3491665434135386
last,1.29,-0.0022776800124897343,0.0720497423195023,-2.2954123062092298,0.19795265198084605
last,1.3,-0.0013899351985476407,0.10549922046891638,-2.290777400667359,0.7291992375089893
last,1.31,-0.00021692424748243782,0.12910296974412397,-2.2810027841299605,1.2261448911870367
last,1.32,0.001136882325454715,0.14165834484330628,-2.2664431701148278,1.6865034475802478
last,1.33,0.0024991961382104426,0.13080441770783885,-2.247669993499905,2.069357817076139
last,1.34,0.003698316737026503,0.109019702055373,-2.225217798067466,2.4226961941475667
last,1.35,0.0046633146542248245,0.08397988138429137,-2.1992360203149772,2.77555321026206
last,1.36,0.005381451650040241,0.05964751777879213,-2.169655321142763,3.1426777621717665
last,1.37,0.0058614727510611945,0.036356702425398575,-2.1363225827727073,3.526134084461599
last,1.3800000000000001,0.006124687046948326,0.01628615675202819,-2.0990385014005466,3.9330340907021664
last,1.3900000000000001,0.006160566211667093,-0.009110323808274565,-2.0576861924551735,4.3401020821592935
last,1.4000000000000001,0.0059035233087436495,-0.042298256776414245,-2.012280050495583,4.744219286811831
last,1.41,0.00529850871611914,-0.0787046617484899,-1.962775594913743,5.16001682331383
last,1.42,0.004339372116601464,-0.11312265815504517,-1.9089916317819942,5.600120190512281
last,1.43,0.0030645754099480134,-0.14183668317564457,-1.850656137243134,6.070067186316785
last,1.44,0.0015457482753618215,-0.16192874374159308,-1.7874675171484076,6.570206620963764
last,1.45,-0.00013075819052698102,-0.173372549436173,-1.7191561978503276,7.093896145499533
last,1.46,-0.0018801088994654038,-0.1764975923515172,-1.6455271677971215,7.632867496972392
last,1.47,-0.0036470808275620298,-0.17689679326780758,-1.566480523416389,8.176745026147547
last,1.48,-0.005406194681947279,-0.17492597760923834,-1.4819945316529402,8.71994461256451
last,1.49,-0.007142733229440126,-0.17238173188932873,-1.3921008348726343,9.25749940937593
last,1.5,-0.008873602314252051,-0.17379208507307514,-1.2968559209059114,9.78966776830086
last,1.51,-0.010563568772549586,-0.1642012065864423,-1.1964454987226487,10.288672173204672
last,1.52,-0.012183530696125761,-0.15979117812880078,-1.0911106176899226,10.773956847148936
last,1.53,-0.013728057982632227,-0.14911427917250214,-0.9811502885025281,11.212092394359534
last,1.54,-0.015250997825786953,-0.15547368945845172,-0.8667227109076833,11.667706339106816
last,1.55,-0.01689264160647219,-0.17285506667860523,-0.747715700807141,12.127615475113855
last,1.56,-0.01870699205076597,-0.19001502218016106,-0.6243099077975205,12.54612442811404
last,1.57,-0.020706471911048664,-0.20988094987638847,-0.49689184947344195,12.928945344858525
last,1.58,-0.022923851284575993,-0.2335949248290854,-0.3658184716735452,13.276133792601648
last,1.59,-0.025349060777236282,-0.2514469737029861,-0.2317275085265654,13.531087346180083
last,1.6,-0.027967008659865438,-0.272142602822859,-0.09534767044571901,13.733100424910685
last,1.61,-0.030747370187285437,-0.28392970266111633,0.04244477386146319,13.812933928658502
last,1.62,-0.03357693320320036,-0.28198290052183383,0.18027995111602563,13.74170427706436
last,1.6300000000000001,-0.03648328476377013,-0.2992874115920862,0.31755534087814036,13.700764111045856
last,1.6400000000000001,-0.0396326688870726,-0.33058941306837586,0.45440871075111566,13.65691698393306
last,1.6500000000000001,-0.04312551471462926,-0.3679797524429204,0.5905848246762173,13.565250049237552
