stage,algorithm,seed,training_filter,run_id,transitions,updates,generation,successes,mean_hold_final,mean_hold_longest,mean_return,named_successes,subset,top_reached_count,hold_2s_count,boundary_episodes,intervention_fraction,mean_duration,mean_requested_near_saturation_fraction,mean_requested_applied_abs_mean
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,70000,65000,t000070000_u000065000_2280eaeb20,0,0.0,0.0,169.65364433155128,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,80000,75000,t000080000_u000075000_41f3aeaba4,0,0.0,0.0,180.30279595450043,0,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,90000,85000,t000090000_u000085000_7137c55787,20,6.034,6.034,739.7261697956995,3,validation,,,,,,,
stage1,SAC,0,off,train_sac_off_warmup5000_seed0,100000,95000,t000100000_u000095000_670dfa05e2,17,5.485,5.485,594.9875800907262,2,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,0,0,t000000000_u000000000_ef5fcd3a79,0,0.0,0.0,-4.970617506926365,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,10000,5000,t000010000_u000005000_28a7a91799,0,0.0,0.0,0.266730800460642,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,20000,15000,t000020000_u000015000_4f1a5f49ab,0,0.0,0.0,51.10442520694325,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,30000,25000,t000030000_u000025000_c90cee2b7b,0,0.0,0.0,71.54746875437752,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,40000,35000,t000040000_u000035000_1d554bbb1d,0,0.0,0.0,32.21638368106702,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,50000,45000,t000050000_u000045000_2939b6f423,0,0.0,0.0,18.42706048014996,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,60000,55000,t000060000_u000055000_f5c4bf85bb,0,0.0,0.0,68.58398873282158,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,70000,65000,t000070000_u000065000_8a0352cae7,0,0.0,0.0,26.333621662026456,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,80000,75000,t000080000_u000075000_07417dcaad,0,0.0,0.0,39.69074054197355,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,90000,85000,t000090000_u000085000_e30f03b705,0,0.0,0.275,105.86835783597303,0,validation,,,,,,,
stage1,SAC,1,off,train_sac_off_warmup5000_seed1,100000,95000,t000100000_u000095000_6881dbd426,0,0.0,0.044499999999999984,135.93451920804836,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,0,0,t000000000_u000000000_ac2a9942f0,0,0.0,0.0,-4.882115631741108,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,10000,5000,t000010000_u000005000_3c9ab36494,0,0.0,0.0,2.259975704096579,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,20000,15000,t000020000_u000015000_f81b1d52a7,0,0.0,0.0,26.633775526480076,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,30000,25000,t000030000_u000025000_748c074f69,0,0.0,0.0,61.47218514655587,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,40000,35000,t000040000_u000035000_fd3a3ae14e,0,0.0,0.0,87.1972876163276,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,50000,45000,t000050000_u000045000_01d3210ffa,0,0.0,0.0,95.12642083493367,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,60000,55000,t000060000_u000055000_7a68f42041,0,0.0,0.06950000000000003,89.5534671660221,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,70000,65000,t000070000_u000065000_714ae7892d,0,0.0,0.0,125.77217043105084,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,80000,75000,t000080000_u000075000_6ef6596d7b,0,0.0,0.0,113.44113999574563,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,90000,85000,t000090000_u000085000_5455577817,0,0.0,0.03750000000000018,172.1098272955271,0,validation,,,,,,,
stage1,SAC,2,off,train_sac_off_warmup5000_seed2,100000,95000,t000100000_u000095000_134b6c780c,0,0.0,0.0,168.78588440022128,0,validation,,,,,,,
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,0,0,t000000000_u000000000_d5459fe6cf,0,0.0,0.0,3.8552719089844034,0,validation,0,0,0,0.1596,10.0,0.0,0.47583948313836366
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,10000,5000,t000010000_u000005000_2d43af38b2,0,0.0,0.0,52.38368689920803,0,validation,0,0,0,0.2387,10.0,0.5889,0.8584927923460761
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,20000,15000,t000020000_u000015000_6103cdda48,0,0.0,0.0,25.711840846904998,0,validation,20,0,0,0.0398,10.0,0.30295,0.04876476531369846
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,30000,25000,t000030000_u000025000_726ef902c4,0,0.0,0.0,16.915622782131123,0,validation,20,0,0,0.5068,10.0,0.87435,2.675596106870919
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,40000,35000,t000040000_u000035000_d4764ab1ae,0,0.0,0.0,25.720709207775496,0,validation,20,0,0,0.62235,10.0,0.93725,3.255169272077537
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,50000,45000,t000050000_u000045000_5054e521eb,0,0.0,0.05900000000000003,140.30508596329477,0,validation,20,0,0,0.3657,10.0,0.7097,2.1768233934301855
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,60000,55000,t000060000_u000055000_5c2057236e,0,0.0,0.0,52.616901395439584,0,validation,0,0,0,0.05395,10.0,0.8362499999999999,0.1504785660751103
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,70000,65000,t000070000_u000065000_15aa05d0c6,0,0.0,0.023999999999999976,130.74239739819922,0,validation,5,0,0,0.08195,10.0,0.6990999999999999,0.3504784906966159
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,80000,75000,t000080000_u000075000_08565e89c6,0,0.016999999999999994,0.5049999999999999,213.03469611939568,0,validation,19,0,0,0.23225,10.0,0.59955,1.3486665310893342
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,90000,85000,t000090000_u000085000_bfae487e01,4,0.8895,1.1905,273.6816135092021,0,validation,16,5,0,0.1959,10.0,0.5655,0.8467516967389109
confirmation,DDPG,3,on,train_confirm_ddpg_on_warmup5000_seed3,100000,95000,t000100000_u000095000_9b55059176,0,0.33249999999999985,0.5195000000000002,706.0465536492355,0,validation,20,0,0,0.0308,10.0,0.14655,0.13060891276956504
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,0,0,t000000000_u000000000_79d3c9fa25,0,0.0,0.0,4.578317696894178,0,validation,0,0,0,0.0839,10.0,0.0,0.24177103760591087
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,10000,5000,t000010000_u000005000_82be2ab994,0,0.0,0.0,15.734175568879596,0,validation,20,0,0,0.32935,10.0,0.73605,1.8866818923060376
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,20000,15000,t000020000_u000015000_ebb84bc2c4,0,0.0009999999999999788,0.0009999999999999788,67.26750287500967,0,validation,15,0,0,0.27965,10.0,0.5205,1.487499958806506
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,30000,25000,t000030000_u000025000_6374180fad,0,0.0,0.0,93.39114840790793,0,validation,20,0,0,0.3259,10.0,0.6066,1.4697021121234815
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,40000,35000,t000040000_u000035000_7c163be389,0,0.0,0.0,137.35562958798508,0,validation,4,0,0,0.33845,10.0,0.73765,1.8416305290971748
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,50000,45000,t000050000_u000045000_95b74ac568,0,0.026999999999999958,0.1174999999999999,145.39149640325945,0,validation,7,0,0,0.1244,10.0,0.5977,0.5041957723512697
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,60000,55000,t000060000_u000055000_f07224f457,0,0.0,0.0,120.71002087963777,0,validation,0,0,0,0.01995,10.0,0.42625,0.10491237874051249
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,70000,65000,t000070000_u000065000_2d60c913dc,0,0.06699999999999999,0.6250000000000004,319.48503607229907,0,validation,20,0,0,0.1285,10.0,0.3368,0.6782408562442097
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,80000,75000,t000080000_u000075000_2bbd59dff7,0,0.0,0.242,297.3397154888372,0,validation,20,0,0,0.0997,10.0,0.3835,0.6649845414614106
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,90000,85000,t000090000_u000085000_e1ae90b852,0,0.0,0.0,164.34357680454693,0,validation,0,0,0,0.1726,10.0,0.46545000000000003,1.2365033129861616
confirmation,DDPG,4,on,train_confirm_ddpg_on_warmup5000_seed4,100000,95000,t000100000_u000095000_6082568003,0,0.0,0.275,303.3468629719551,0,validation,20,0,0,0.16,10.0,0.40519999999999995,0.99683736677744
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,0,0,t000000000_u000000000_9e02c96b9f,0,0.0,0.0,3.4155029320202663,0,validation,0,0,0,0.1115,10.0,0.0,0.318131233163203
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,10000,5000,t000010000_u000005000_86facbf3a6,0,0.0,0.0,24.21799263263525,0,validation,20,0,0,0.6428,10.0,0.8124,3.3377411380056614
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,20000,15000,t000020000_u000015000_a3fcbb03fc,0,0.0,0.0,29.86150228842977,0,validation,0,0,0,0.4853,10.0,0.72325,2.8577328945833647
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,30000,25000,t000030000_u000025000_60991ace68,0,0.0,0.0,107.28391035417994,0,validation,0,0,0,0.25545,10.0,0.46929999999999994,1.5855691971996984
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,40000,35000,t000040000_u000035000_901f5e3172,0,0.0,0.028000000000000004,187.27065211732912,0,validation,14,0,0,0.0995,10.0,0.35015,0.5634667122185807
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,50000,45000,t000050000_u000045000_945edb8ae6,12,2.305,2.346,376.1327939408026,2,validation,20,12,0,0.12085,10.0,0.3828,0.43957061077011705
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,60000,55000,t000060000_u000055000_715cd53ef9,0,0.014499999999999957,0.7224999999999999,374.3007898538635,0,validation,20,0,0,0.09955,10.0,0.3781,0.6785880168080763
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,70000,65000,t000070000_u000065000_b36e59d7ce,20,7.278999999999999,7.278999999999999,724.9909315480716,3,validation,20,20,0,0.0242,10.0,0.1338,0.12318123138030672
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,80000,75000,t000080000_u000075000_f21f43b546,19,2.9425,3.0105,683.348065498002,3,validation,20,20,0,0.02205,10.0,0.10805000000000001,0.11197786837426735
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,90000,85000,t000090000_u000085000_181ce2ec08,20,7.891500000000001,7.891500000000001,752.568819705203,3,validation,20,20,0,0.01805,10.0,0.11225,0.10358791189120134
confirmation,DDPG,5,on,train_confirm_ddpg_on_warmup5000_seed5,100000,95000,t000100000_u000095000_d7a305cad2,0,0.01150000000000002,1.154,665.452665557242,0,validation,20,0,0,0.0204,10.0,0.12555,0.11833238281357908
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,0,0,t000000000_u000000000_51023d3962,0,0.0,0.0,-4.952850281854974,0,validation,0,0,20,,1.5892797725518968,0.0,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,10000,5000,t000010000_u000005000_19482c0186,0,0.0,0.0,5.1572435308149105,0,validation,0,0,0,,10.0,0.0,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,20000,15000,t000020000_u000015000_570ac21f13,0,0.0,0.0,61.31563470385737,0,validation,0,0,0,,10.0,0.0008,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,30000,25000,t000030000_u000025000_7449862c44,0,0.0,0.045000000000000005,44.49652683119996,0,validation,20,0,0,,10.0,0.0418,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,40000,35000,t000040000_u000035000_4d22ee3b6a,0,0.0,0.0,18.112716806159337,0,validation,20,0,20,,4.166553763767086,0.11474354837885273,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,50000,45000,t000050000_u000045000_3133a21007,0,0.0,0.0,11.363140445280932,0,validation,20,0,20,,9.34960739885091,0.02656584508108874,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,60000,55000,t000060000_u000055000_84e2637223,0,0.0,0.0,24.76348877822923,0,validation,20,0,0,,10.0,0.06665,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,70000,65000,t000070000_u000065000_3ac38a18bf,0,0.0,0.0,36.95405290116421,0,validation,20,0,0,,10.0,0.0826,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,80000,75000,t000080000_u000075000_03708bd8d4,0,0.0,0.0,148.29637801951958,0,validation,0,0,0,,10.0,0.18119999999999997,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,90000,85000,t000090000_u000085000_9e4878a2b4,0,0.0,0.019500000000000007,90.50757709417644,0,validation,20,0,15,,8.701434810406585,0.2728256303303562,0.0
confirmation,SAC,3,off,train_confirm_sac_off_warmup5000_seed3,100000,95000,t000100000_u000095000_0a6a8a021f,0,0.0,0.0,208.2389794675114,0,validation,0,0,0,,10.0,0.2234,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,0,0,t000000000_u000000000_8d23bf49a6,0,0.0,0.0,-4.934945356554204,0,validation,0,0,20,,1.1078652162319742,0.0,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,10000,5000,t000010000_u000005000_182b5cd634,0,0.0,0.0,5.011674796536597,0,validation,0,0,20,,6.457533786413268,0.0,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,20000,15000,t000020000_u000015000_949b15ac03,0,0.0,0.0,4.838890574845136,0,validation,0,0,20,,1.9041938133323888,0.1817254073612565,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,30000,25000,t000030000_u000025000_639632a306,0,0.0,0.0,92.0251537329082,0,validation,0,0,0,,10.0,0.0536,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,40000,35000,t000040000_u000035000_ada293b5f0,0,0.0,0.151,91.43594821767132,0,validation,20,0,20,,8.350934187697137,0.027253945395625312,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,50000,45000,t000050000_u000045000_9f2d7f0dd4,0,0.0,0.04149999999999996,141.26152791695085,0,validation,20,0,0,,10.0,0.0844,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,60000,55000,t000060000_u000055000_e9bfe427ae,0,0.0,0.0,135.95945289331775,0,validation,20,0,0,,10.0,0.06775,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,70000,65000,t000070000_u000065000_ecf3c5d619,0,0.0,0.48599999999999977,260.23708392360805,0,validation,20,0,0,,10.0,0.04575,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,80000,75000,t000080000_u000075000_2210785d7d,0,0.0,0.45400000000000007,359.93676847260997,0,validation,20,0,0,,10.0,0.02855,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,90000,85000,t000090000_u000085000_07386e3494,0,0.0,1.0945000000000003,456.40390466979454,0,validation,20,0,0,,10.0,0.03825,0.0
confirmation,SAC,4,off,train_confirm_sac_off_warmup5000_seed4,100000,95000,t000100000_u000095000_f77552ae4f,0,0.0,0.26250000000000007,266.7492715038357,0,validation,20,0,0,,10.0,0.0428,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,0,0,t000000000_u000000000_7755847167,0,0.0,0.0,-4.939177886201965,0,validation,0,0,20,,1.1702857774983135,0.0,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,10000,5000,t000010000_u000005000_e717006e58,0,0.0,0.0,2.1040908315314146,0,validation,0,0,0,,10.0,0.0,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,20000,15000,t000020000_u000015000_7b7db0ae8a,0,0.0,0.0,46.69419573194114,0,validation,20,0,18,,5.141297528626471,0.09330775824669234,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,30000,25000,t000030000_u000025000_b5c18f8797,0,0.0,0.0,34.80358675362784,0,validation,20,0,20,,6.806474584274409,0.16715170306852495,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,40000,35000,t000040000_u000035000_8d046a0823,0,0.0,0.0,157.49167858626487,0,validation,0,0,0,,10.0,0.0428,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,50000,45000,t000050000_u000045000_0725790569,0,0.0,0.0,190.93285380990702,0,validation,0,0,0,,10.0,0.042249999999999996,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,60000,55000,t000060000_u000055000_42a163be1d,0,0.0,0.0,84.63565992572983,0,validation,0,0,0,,10.0,0.25365000000000004,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,70000,65000,t000070000_u000065000_b32238cb2e,0,0.0,0.0,89.34397370286715,0,validation,0,0,0,,10.0,0.16319999999999998,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,80000,75000,t000080000_u000075000_5584b5595c,0,0.0,1.1785,362.1368536234827,0,validation,20,0,0,,10.0,0.08645,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,90000,85000,t000090000_u000085000_a0476b99eb,0,0.0,0.0,233.38823111816106,0,validation,0,0,0,,10.0,0.0751,0.0
confirmation,SAC,5,off,train_confirm_sac_off_warmup5000_seed5,100000,95000,t000100000_u000095000_4e184e59bd,0,0.0,0.0,195.56235741970278,0,validation,20,0,0,,10.0,0.0895,0.0
