category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,source,source_sha256,verification
periodic,train_SAC_on_seed0,SAC,0,on,t000070000_u000069872_a53f38b271,70000,on,validation,20,20,6.636,6.636,20,20,3.364,678.9045936894424,0,0,0,0,0,20000,0.0,0.0,0.0,0.18890730139267242,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000070000_u000069872_a53f38b271/report.json,381a7ec53db6807d257d0d539b08c886bc73bf63d16a3ded3984e807a3e502c6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000070000_u000069872_a53f38b271,70000,on,named,3,3,6.646666666666667,6.646666666666667,3,3,3.3533333333333335,682.4860440129484,0,0,0,0,0,3000,0.0,0.0,0.0,0.1524328052591379,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000070000_u000069872_a53f38b271/report.json,381a7ec53db6807d257d0d539b08c886bc73bf63d16a3ded3984e807a3e502c6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000070000_u000069872_a53f38b271,70000,on,all,23,23,6.637391304347826,6.637391304347826,23,23,3.362608695652174,679.3717393838127,0,0,0,0,0,23000,0.0,0.0,0.0,0.18890730139267242,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000070000_u000069872_a53f38b271/report.json,381a7ec53db6807d257d0d539b08c886bc73bf63d16a3ded3984e807a3e502c6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000080000_u000079872_fbe0c92484,80000,on,validation,20,20,5.143,5.143,20,20,4.857,681.996243560737,0,0,0,0,826,20000,0.0413,4443.749712727677,7.979080196040705,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000080000_u000079872_fbe0c92484/report.json,0506218a37b7d58915a11338be2fd369f8535c876c994d2e1d9afb8bcaa52ef6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000080000_u000079872_fbe0c92484,80000,on,named,3,3,5.023333333333333,5.023333333333333,3,3,4.976666666666667,683.3518145846134,0,0,0,0,120,3000,0.04,642.0121063398642,7.963719366734029,0.23999899999999924,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000080000_u000079872_fbe0c92484/report.json,0506218a37b7d58915a11338be2fd369f8535c876c994d2e1d9afb8bcaa52ef6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000080000_u000079872_fbe0c92484,80000,on,all,23,23,5.127391304347825,5.127391304347825,23,23,4.872608695652175,682.1730571725469,0,0,0,0,946,23000,0.041130434782608694,5085.761819067541,7.979080196040705,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000080000_u000079872_fbe0c92484/report.json,0506218a37b7d58915a11338be2fd369f8535c876c994d2e1d9afb8bcaa52ef6,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000090000_u000089872_8e67c12418,90000,on,validation,20,19,6.8205,6.8205,19,20,2.8205263157894738,752.7898508296969,0,0,0,0,1338,20000,0.0669,6697.854503811908,7.983954850946278,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000090000_u000089872_8e67c12418/report.json,f56f51d33ed8979ed7eafff196465c04a976aff5b46ef211b33c7545ec92a641,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000090000_u000089872_8e67c12418,90000,on,named,3,3,6.8933333333333335,6.8933333333333335,3,3,3.106666666666667,778.9047049429037,0,0,0,0,134,3000,0.04466666666666667,706.0203953032077,7.925559898323647,0.2399989999999977,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000090000_u000089872_8e67c12418/report.json,f56f51d33ed8979ed7eafff196465c04a976aff5b46ef211b33c7545ec92a641,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000090000_u000089872_8e67c12418,90000,on,all,23,22,6.83,6.83,22,23,2.8595454545454544,756.1961361488106,0,0,0,0,1472,23000,0.064,7403.874899115116,7.983954850946278,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000090000_u000089872_8e67c12418/report.json,f56f51d33ed8979ed7eafff196465c04a976aff5b46ef211b33c7545ec92a641,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000100000_u000099872_8be9b78333,100000,on,validation,20,20,6.422,6.422,20,20,3.5780000000000003,770.117201263913,0,0,0,0,1027,20000,0.05135,5716.360525775254,7.984466075829352,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000100000_u000099872_8be9b78333/report.json,2e1ee7c2bb95849f5469931d69c9a548f42ea2f86bd2f4fe4478a2edefe90666,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000100000_u000099872_8be9b78333,100000,on,named,3,3,6.423333333333333,6.423333333333333,3,3,3.5766666666666667,770.396669264566,0,0,0,0,152,3000,0.050666666666666665,865.7441957041556,7.983899277850581,0.23999899999999993,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000100000_u000099872_8be9b78333/report.json,2e1ee7c2bb95849f5469931d69c9a548f42ea2f86bd2f4fe4478a2edefe90666,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000100000_u000099872_8be9b78333,100000,on,all,23,23,6.422173913043479,6.422173913043479,23,23,3.577826086956522,770.1536536118243,0,0,0,0,1179,23000,0.051260869565217394,6582.10472147941,7.984466075829352,0.23999899999999996,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000100000_u000099872_8be9b78333/report.json,2e1ee7c2bb95849f5469931d69c9a548f42ea2f86bd2f4fe4478a2edefe90666,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,off,validation,20,20,6.636,6.636,20,20,3.364,678.9045936894424,0,0,0,0,0,0,,0.0,0.0,0.18890730139267242,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_off/report.json,1890edc142ac9394b0a76566ce2351ef70d52e010288a5d86ed345fde1f24dc4,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,off,named,3,3,6.646666666666667,6.646666666666667,3,3,3.3533333333333335,682.4860440129484,0,0,0,0,0,0,,0.0,0.0,0.1524328052591379,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_off/report.json,1890edc142ac9394b0a76566ce2351ef70d52e010288a5d86ed345fde1f24dc4,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,off,all,23,23,6.637391304347826,6.637391304347826,23,23,3.362608695652174,679.3717393838127,0,0,0,0,0,0,,0.0,0.0,0.18890730139267242,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_off/report.json,1890edc142ac9394b0a76566ce2351ef70d52e010288a5d86ed345fde1f24dc4,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,on,validation,20,20,6.636,6.636,20,20,3.364,678.9045936894424,0,0,0,0,0,20000,0.0,0.0,0.0,0.18890730139267242,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_on/report.json,3c70deae1bc346d6f8c6e9174467cf0f71c9548830bd40c2e62c6583334686fd,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,on,named,3,3,6.646666666666667,6.646666666666667,3,3,3.3533333333333335,682.4860440129484,0,0,0,0,0,3000,0.0,0.0,0.0,0.1524328052591379,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_on/report.json,3c70deae1bc346d6f8c6e9174467cf0f71c9548830bd40c2e62c6583334686fd,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,best,70000,on,all,23,23,6.637391304347826,6.637391304347826,23,23,3.362608695652174,679.3717393838127,0,0,0,0,0,23000,0.0,0.0,0.0,0.18890730139267242,main-session/queue/jobs/evaluate_train_SAC_on_seed0/best_on/report.json,3c70deae1bc346d6f8c6e9174467cf0f71c9548830bd40c2e62c6583334686fd,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,off,validation,20,0,0.0,0.0,0,0,,-4.480248934130424,20,20,20,0,0,0,,0.0,0.0,0.25000000000000006,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_off/report.json,54edc7b78197e088d1a8fd6b812808851070706b6a7e9d83d3889a7486143ab1,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,off,named,3,0,0.0,0.0,0,0,,-4.508669944759116,3,3,3,0,0,0,,0.0,0.0,0.25000000000000006,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_off/report.json,54edc7b78197e088d1a8fd6b812808851070706b6a7e9d83d3889a7486143ab1,raw_log_recomputed
