category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,mean_duration,boundary_episodes,physical_position_excess_resolved,physical_velocity_excess_resolved,physical_acceleration_excess_resolved,mean_requested_mean,mean_requested_rms,mean_applied_mean,mean_applied_rms,mean_requested_applied_abs_mean,mean_requested_near_saturation_fraction,mean_applied_near_saturation_fraction,max_abs_requested_acceleration,max_abs_applied_acceleration,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,min_position_margin_interval,min_velocity_margin_interval,source,source_sha256,verification
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000060000_u000055000_5c2057236e,60000,on,all,23,10.0,0,0,0,0,0.11140228184409763,3.8094707489054023,-0.039061147238375046,3.814913333649887,0.15046342908247268,0.836304347826087,0.8424347826086955,4.0,4.0,0,0.0,0.0,0,0,,52.58686063133279,0,0,0,0,1237,23000,0.05378260869565218,3460.658868896872,7.999999999693559,0.23999899999839064,0.010001000001609361,0.6507190602978516,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000060000_u000055000_5c2057236e/report.json,2d76673427f99a375169072091f06bae543dfa8b9367aeb11ded7e78cebb2056,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000070000_u000065000_15aa05d0c6,70000,on,validation,20,10.0,0,0,0,0,0.1087931900024414,3.636465551437964,-0.013947399975786626,3.6480266458393382,0.3504784906966159,0.6990999999999999,0.71035,4.0,4.0,0,0.0,0.023999999999999976,0,5,,130.74239739819922,0,0,0,0,1639,20000,0.08195,7009.569813932318,7.999999999707329,0.23999899999999927,0.010001000000000704,0.6145687997923301,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000070000_u000065000_15aa05d0c6/report.json,f4c23cb7327693836cb3306c3b83551842ba01d5e39f621ebe98dcc4ee09eb9e,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000070000_u000065000_15aa05d0c6,70000,on,named,3,10.0,0,0,0,0,0.014776717583338416,3.6050738148146464,-0.015714178725252513,3.6170025441821454,0.33084379916270107,0.6956666666666665,0.7083333333333334,4.0,4.0,0,0.0,0.36000000000000004,0,1,,158.6477680052808,0,0,0,0,230,3000,0.07666666666666666,992.5313974881032,7.999999999704,0.23999899999999985,0.010001000000000176,0.6283155991390876,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000070000_u000065000_15aa05d0c6/report.json,f4c23cb7327693836cb3306c3b83551842ba01d5e39f621ebe98dcc4ee09eb9e,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000070000_u000065000_15aa05d0c6,70000,on,all,23,10.0,0,0,0,0,0.09653017186081927,3.632370977095792,-0.014177849377890872,3.6439800238840516,0.3479174439748009,0.6986521739130435,0.7100869565217391,4.0,4.0,0,0.0,0.06782608695652172,0,6,,134.382228346949,0,0,0,0,1869,23000,0.08126086956521739,8002.101211420421,7.999999999707329,0.23999899999999985,0.010001000000000176,0.6145687997923301,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000070000_u000065000_15aa05d0c6/report.json,f4c23cb7327693836cb3306c3b83551842ba01d5e39f621ebe98dcc4ee09eb9e,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000080000_u000075000_08565e89c6,80000,on,validation,20,10.0,0,0,0,0,-1.2692812003850937,3.3053214657595156,-0.005155441337636086,3.2410092735534777,1.3486665310893342,0.59955,0.5679000000000001,4.0,4.0,0,0.016999999999999994,0.5049999999999999,0,19,,213.03469611939568,0,0,0,0,4645,20000,0.23225,26973.330621786685,7.999999999449962,0.239999,0.01000100000000001,0.6147451059744857,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000080000_u000075000_08565e89c6/report.json,f1efeb7ff16f2d2533c07d33a16e1bb08e874bf055d9c5062e19a5f178a90c81,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000080000_u000075000_08565e89c6,80000,on,named,3,10.0,0,0,0,0,-1.28179456837972,3.3043652727688113,0.00013688918175588834,3.23274625081063,1.3627871675890901,0.582,0.5536666666666666,4.0,4.0,0,0.2233333333333333,0.2233333333333333,0,3,,212.13071126346586,0,0,0,0,722,3000,0.24066666666666667,4088.3615027672704,7.999999999434488,0.239999,0.010001000000000038,0.6244484439503581,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000080000_u000075000_08565e89c6/report.json,f1efeb7ff16f2d2533c07d33a16e1bb08e874bf055d9c5062e19a5f178a90c81,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000080000_u000075000_08565e89c6,80000,on,all,23,10.0,0,0,0,0,-1.2709133788191753,3.305196744934641,-0.004465137356845828,3.2399314879783234,1.3505083532414763,0.5972608695652174,0.5660434782608695,4.0,4.0,0,0.04391304347826086,0.4682608695652174,0,22,,212.9167850512309,0,0,0,0,5367,23000,0.23334782608695653,31061.692124553956,7.999999999449962,0.239999,0.01000100000000001,0.6147451059744857,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000080000_u000075000_08565e89c6/report.json,f1efeb7ff16f2d2533c07d33a16e1bb08e874bf055d9c5062e19a5f178a90c81,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000090000_u000085000_bfae487e01,90000,on,validation,20,10.0,0,0,0,0,-0.44395733330249787,3.253282312445191,0.0011050470619771056,3.2805433201887597,0.8467516967389109,0.5655,0.5909500000000001,4.0,4.0,4,0.8895,1.1905,5,16,5.9,273.6816135092021,0,0,0,0,3918,20000,0.1959,16935.033934778217,7.999999999472193,0.239999,0.01000100000000001,0.6144976020922581,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000090000_u000085000_bfae487e01/report.json,31da979432ec7eb02d93d7897474d7e17efb0394eef8e196fa0c4a3a1b4f46f4,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000090000_u000085000_bfae487e01,90000,on,named,3,10.0,0,0,0,0,-0.3406022987365723,2.986485466496614,-0.016927314333718177,3.024078472740993,0.6637093151178711,0.4693333333333333,0.498,4.0,4.0,0,0.3133333333333332,0.8799999999999996,0,3,,348.692105227547,0,0,0,0,458,3000,0.15266666666666667,1991.1279453536135,7.999999996474324,0.23999899999999996,0.010001000000000038,0.6284628224400557,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000090000_u000085000_bfae487e01/report.json,31da979432ec7eb02d93d7897474d7e17efb0394eef8e196fa0c4a3a1b4f46f4,raw_log_recomputed
periodic,train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,t000090000_u000085000_bfae487e01,90000,on,all,23,10.0,0,0,0,0,-0.43047624183737715,3.2184827238432026,-0.0012470000765918445,3.2470913835651376,0.8228766034839927,0.5529565217391305,0.5788260869565217,4.0,4.0,4,0.8143478260869564,1.15,5,19,5.9,283.46559068985584,0,0,0,0,4376,23000,0.1902608695652174,18926.161880131833,7.999999999472193,0.239999,0.01000100000000001,0.6144976020922581,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/parallel_evaluations/t000090000_u000085000_bfae487e01/report.json,31da979432ec7eb02d93d7897474d7e17efb0394eef8e196fa0c4a3a1b4f46f4,raw_log_recomputed
